source_id,title,authors,year,source_type,url,doi,date_accessed,relevance,status,notes
S11,Optimized two-frequency phase-measuring-profilometry light-sensor temporal-noise sensitivity,"Li; Hassebrook; Guan",2003,journal article,https://opg.optica.org/josaa/abstract.cfm?uri=josaa-20-1-106,10.1364/JOSAA.20.000106,2026-09-20,multi-frequency phase measurement precedent,ABSTRACT_VERIFIED,"Two-frequency phase measurement and temporal-noise tradeoff predate this project"
S12,Optical processing of surfaces to determine cleanliness,Ecolab Inc.,2011,patent publication,https://patents.google.com/patent/WO2011001380A3/en,,2026-09-20,cleaning-specific optical patent precedent,PATENT_RECORD_VERIFIED,"Full claim chart and legal status not independently verified"
S13,Systems and methods for determining the cleanliness of a surface,3M Innovative Properties Company,2017,patent,https://patents.google.com/patent/US9839712B2/en,,2026-09-20,retroreflective marker cleaning verification,PATENT_DESCRIPTION_VERIFIED,"Applied marker at discrete sites; not native residue imaging"
S14,Surface inspecting apparatus and calibration method,,2015,patent,https://patents.google.com/patent/US8949043B2/en,,2026-09-20,reference standard and inspection drift precedent,PATENT_DESCRIPTION_VERIFIED,"Semiconductor inspection context"
S15,Measurement uncertainty of phase measuring deflectometry,"Pavlicek; Palickova",2023,journal article,https://pubmed.ncbi.nlm.nih.gov/37132924/,10.1364/AO.483720,2026-09-20,measurement uncertainty foundation,ABSTRACT_VERIFIED,"Does not validate project-specific bounds"
S16,reflectCONTROL 3D sensor for shiny surfaces,Micro-Epsilon,2026,commercial product page,https://www.micro-epsilon.com/2d-3d-measurement/reflectcontrol/,,2026-09-20,commercial deflectometry and full-field inspection precedent,OFFICIAL_PRODUCT_PAGE_VERIFIED,"Industrial defect/shape product; not cleaning-specific"
S17,EnSURE Touch monitoring system,Hygiena,2026,commercial product page,https://store.hygiena.com/monitoring-systems/ensure-touch-asy0460,,2026-09-20,ATP comparator and digital reporting,OFFICIAL_PRODUCT_PAGE_VERIFIED,"Price is temporally variable; ATP is not sterility"
S18,Lumitester Smart,Kikkoman Biochemifa,2026,commercial product page,https://biochemifa.kikkoman.com/e/kit/product/atp-test/lumitester-smart/,,2026-09-20,A3 swab rapid hygiene comparator,OFFICIAL_PRODUCT_PAGE_VERIFIED,"Point sampling and consumable swabs"
S19,Environmental Monitoring Program DAZO,Ecolab,2026,commercial product page,https://www.ecolab.com/en-us/offerings/hc/environmental-monitoring-program,,2026-09-20,fluorescent marker cleaning workflow comparator,OFFICIAL_PRODUCT_PAGE_VERIFIED,"Applied marker; not native residue measurement"
S20,Polarization-based and specular-reflection-based noncontact latent fingerprint imaging and lifting,"Lin; Yemelyanov; Pugh; Engheta",2006,journal article,https://opg.optica.org/josaa/abstract.cfm?uri=josaa-23-9-2137,10.1364/JOSAA.23.002137,2026-09-20,polarization and specular residue-response evidence,ABSTRACT_VERIFIED,"Noncontact latent-print imaging; no transferable project LOD"
S21,Investigation on surface inspection using polarizing image sensors,,2022,conference paper,https://publica.fraunhofer.de/entities/publication/074c8a49-cf5e-4ef9-901f-3eef59ee93dd,,2026-09-20,transparent-water polarization evidence,ABSTRACT_VERIFIED,"RGB dome plus four-channel polarizing camera; only applicable when contaminant changes polarization"
S22,Multispectral detection of organic residues on poultry processing plant equipment based on hyperspectral reflectance imaging technique,"Cho; Chen; Kim",2007,journal article,https://www.sciencedirect.com/science/article/abs/pii/S0168169907000725,10.1016/j.compag.2007.03.008,2026-09-20,quantitative wavelength-diversity evidence on stainless steel,ABSTRACT_AND_RELEVANT_SECTIONS_VERIFIED,"Wet 1:100 R895/R469 94.0%; dry 1:100 527/580 nm 99.7% in source dataset"
S23,Assessment of interplay between UV wavelengths material surfaces and food residues in open surface hygiene validation,"Jespersen et al.",2014,journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC4252410/,,2026-09-20,residue by material by wavelength evidence,OPEN_FULL_TEXT_VERIFIED,"Aluminium FRP and 304 stainless; 365-490 nm; includes fluorescence and visible response"
S24,Effects of surface contamination on the infrared emissivity and visible-light scattering of highly reflective surfaces at cryogenic temperatures,"Viehmann; Eubanks",1972,NASA technical note,https://ntrs.nasa.gov/citations/19720007973,,2026-09-20,film-thickness versus scattering evidence on reflective stainless,NASA_RECORD_AND_PDF_VERIFIED,"Visible scatter changed little below about 2 um and rose rapidly beyond 2-3 um; cryogenic conditions"
S25,A New Method to Characterize Degradation of Reflectors for CSP Technology,,2010,technical paper,https://www.nrel.gov/docs/fy11osti/49164.pdf,,2026-09-20,quantitative glass-mirror soiling reflectance,NREL_PDF_VERIFIED,"22-day soiling: 52.3% mean specular reflectance vs 95.2% cleaned at 656 nm 15 degrees 12.5 mrad"
S26,Measured reflectance suppressed by thin-film interference of crude oil smeared on glass,Neely Bostick,2011,journal article record,https://www.usgs.gov/publications/measured-reflectance-suppressed-thin-film-interference-crude-oil-smeared-glass,,2026-09-20,oil-film interference on glass,USGS_RECORD_VERIFIED,"Qualitative mechanism; no project-band detection limit"
S27,Dirty Glass Rendering Contamination on Transparent Surfaces,"Gu; Ramamoorthi; Belhumeur; Nayar",2007,conference paper,https://diglib.eg.org/items/2211d001-3ee3-4228-aa34-ccf479ef29ad,10.2312/EGWR/EGSR07/159-170,2026-09-20,BRDF BTDF optical-thickness scattering model,ABSTRACT_AND_PDF_VERIFIED,"Rendering model is adjacent evidence not sensor validation"
S28,Effect of surface properties on the adsorption of soil from a simulated reused detergent suspension,,2026,journal article,https://doi.org/10.1016/j.fbp.2026.03.023,10.1016/j.fbp.2026.03.023,2026-09-20,stainless versus HDPE residue morphology and coverage,OPEN_FULL_TEXT_VERIFIED,"Peanut-butter soil; material-dependent coverage roughness wettability and morphology"
S29,Optical processing of surfaces to determine cleanliness,Ecolab Inc.,2012,US patent,https://patents.google.com/patent/US8229204B2/en,,2026-09-20,material-specific controls and optical cleanliness scoring,PATENT_DESCRIPTION_AND_CLAIMS_VERIFIED,"Clean and stained control wares; ware-type environment; glass and ceramic examples"
S30,System and method for inspecting a workpiece surface using surface structure spatial frequencies,,2007,US patent,https://patents.google.com/patent/US7286218B2/en,,2026-09-20,surface confidence maps and statistical significance,PATENT_DESCRIPTION_VERIFIED,"Semiconductor inspection; strong precedent against confidence-map novelty"
S31,Surface cleanliness measurement procedure,,2002,US patent,https://patents.google.com/patent/US6378386B1/en,,2026-09-20,prescribed repeated cleanliness measurement,PATENT_DESCRIPTION_AND_CLAIMS_VERIFIED,"Contact smear/wipe reflectivity; different modality"
S32,Window contamination detector,,1999,European patent application,https://patents.google.com/patent/EP0903572A2/en,,2026-09-20,source reference normalization for contamination,PATENT_DESCRIPTION_VERIFIED,"Measurement/reference detector ratio makes output less sensitive to source drift"
S33,Optical Multiwavelength Window Contamination Monitor for Optical Control Sensors and Systems,,2009,US patent application,https://patents.google.com/patent/US20090015824A1/en,,2026-09-20,multiwavelength contamination ratio prior art,PATENT_DESCRIPTION_VERIFIED,"Window monitoring not professional cleaning"
S34,Inspection of industrial facilities by drones with uncertainty-aware coverage path planning,"Papaioannou et al.",2022,preprint,https://arxiv.org/abs/2201.04310,,2026-09-20,coverage and uncertainty adjacent prior art,ABSTRACT_VERIFIED,"Industrial inspection not cleanliness verification"
S35,A method of validating a cleaning process,,2012,patent application,https://patents.google.com/patent/WO2012065952A1/en,,2026-09-20,IR chemical imaging threshold standard and repeat-cleaning workflow,PATENT_CLAIMS_VERIFIED,"Claims 1-6 compare residue amount with threshold/standard and direct repeat cleaning or no further cleaning"
S36,Method and apparatus for disinfection verification,Bos Innovations Ltd.,2013,US patent,https://patents.google.com/patent/US8519360B2/en,,2026-09-20,fluorescent marker cleaning verification,PATENT_CLAIMS_VERIFIED,"Invisible applied marking ink becomes visible under UV; process marker rather than native residue"
S37,F-Camera,Fraunhofer IPM,2026,official product page,https://www.ipm.fraunhofer.de/en/bu/production-control-inline-measurement-techniques/systems/f-camera.html,,2026-09-20,native contamination imaging product comparator,OFFICIAL_PRODUCT_PAGE_VERIFIED,"UV fluorescence plus bright/dark field; quantitative maps; sensitivity statements are vendor claims"
S38,SITA FluoSpection Qube,SITA Messtechnik,2026,official product page,https://www.sita-messtechnik.de/en/products/sita-fluospection-qube,,2026-09-20,normalized full-surface fluorescence mapping and documentation,OFFICIAL_PRODUCT_PAGE_VERIFIED,"RFU calibration zone limits before/after comparison reports and planned pass/fail reference patterns"
S39,CIX100 Inspection System,Evident Scientific,2026,official product page,https://evidentscientific.com/en/products/cleanliness-and-particle-analysis/cix100,,2026-09-20,technical-cleanliness calibration coverage and decision workflow,OFFICIAL_PRODUCT_PAGE_VERIFIED,"Filter particle microscopy; calibration-device self-check polarization classification OK/NOK early rejection and audit trail"
S40,AI Vision Surface Cleanliness and Residue Inspection,iFactory,2026,vendor product page,https://ifactoryapp.com/ai-vision-camera/ai-vision-surface-cleanliness-residue-inspection,,2026-09-20,close commercial workflow disclosure,VENDOR_PAGE_REVIEWED_NOT_INDEPENDENTLY_VALIDATED,"Describes controlled lighting material baselines zone pass/fail coverage re-clean alerts and logs; performance/regulatory claims not independently verified"
S41,Non-Destructive Detection Pilot Study of Vegetable Organic Residues Using VNIR Hyperspectral Imaging and Deep Learning Techniques,"Aboonajmi et al.",2021,journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC8122335/,,2026-09-20,stainless-steel vegetable-residue spectral evidence,OPEN_FULL_TEXT_VERIFIED,"400-1000 nm; six dilution levels; 0.94 validation accuracy for potato and spinach in study; not a transferable LOD"
S42,Handheld Multispectral Fluorescence Imaging System to Detect and Disinfect Surface Contamination,"Gorji et al.",2021,journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC8588002/,,2026-09-20,material-dependent small-residue spatial evidence,OPEN_FULL_TEXT_VERIFIED,"Different modality; reported minimum blob diameter 0.13 mm stainless and 0.21 mm plastic"
S43,Use of Polarimetric Imaging for Discrimination of Oil from Water,"Iler; Hamilton; Locke",2015,conference paper,https://opg.optica.org/abstract.cfm?uri=hise-2015-HW2B.4,10.1364/HISE.2015.HW2B.4,2026-09-20,angle-dependent liquid polarimetric signal,ABSTRACT_VERIFIED,"Peak DOLP 40-70% crude and 20-50% vegetable oil; liquid background not solid coupon"
S44,Method device and system for sensor surface cleaning,ASML Netherlands BV,2025,PCT patent application,https://patents.google.com/patent/WO2025261682A1/en,,2026-09-20,close optical cleanliness and iterative cleaning workflow,PATENT_DESCRIPTION_AND_CLAIMS_VERIFIED,"Pending PCT; dependent claims 7-8 and 11 cover cleanliness measurement/control; description includes clean-reference ratio and iterative remeasurement"
