source,year,type,application,measurement_modality,reference_strategy,multi-reference,bounded_inference,abstention,remeasurement,large-area,cleaning-specific,overlap_with_ours,important_difference,risk_level
"WO2011001380A2/A3 (Ecolab)",2011,patent,"optical processing to determine surface cleanliness","optical surface processing","surface optical datum",unknown,unknown,unknown,partial,unknown,yes,"directly cleaning-specific optical patent","full claim chart not completed","HIGH"
"WO2012065952A1",2012,patent,"validate cleaning process","infrared chemical imaging","known-concentration standard",no,partial,no,yes,partial,yes,"threshold and repeat-cleaning logic","IR chemical imaging","HIGH"
"US9839712B2 (3M)",2017,patent,"determine effectiveness of surface cleaning","visible illumination and retroreflective marker","pre-applied marker/site",no,partial,no,yes,no,yes,"cleaning decision and optical comparison","marker removal rather than native residue","HIGH"
"US10369243B2 (Diversey)",2019,patent,"document decontamination","photochromic indicator","applied indicator",no,partial,no,yes,no,yes,"cleaning documentation workflow","photochromic exposure marker","HIGH"
"US8949043B2",2015,patent,"surface inspection calibration","optical inspection","contaminated standard wafer; periodic calibration",partial,partial,no,yes,no,no,"reference drift and calibration overlap","semiconductor inspection","MEDIUM"
"EP0180756A1",1986,patent,"calibration of surface inspection","optical reusable test standard","pads simulating contamination",partial,partial,no,yes,no,no,"contamination-like reference standard","calibration artifact not cleaning workflow","MEDIUM"
"NIST VDI/VDE 2634-2 and ISO 10360-13 work",2024,standard/guidance,"optical 3D system performance","structured-light optical metrology","calibrated test objects",partial,yes,no,yes,partial,no,"systematic-error and performance evaluation","geometry metrology not cleanliness","MEDIUM"
"Micro-Epsilon reflectCONTROL",2026,commercial,"shiny-surface defect and 3D inspection","phase-measuring deflectometry","digital master/calibration",partial,partial,partial,yes,yes,no,"very high hardware/modality overlap","industrial defects; not a cleaning claim","HIGH"
"Hygiena EnSURE Touch",2026,commercial,"hygiene monitoring","ATP bioluminescence swab","site thresholds and controls",partial,partial,partial,yes,no,yes,"same workflow objective and reporting","contact point sampling; biochemical proxy","MEDIUM"
"Neogen/3M Clean-Trace",2026,commercial,"hygiene monitoring","ATP swab and luminometer","positive controls/sampling plan",partial,partial,partial,yes,no,yes,"same buyer/use case","consumable point sampling","MEDIUM"
"Kikkoman Lumitester Smart",2026,commercial,"rapid hygiene monitoring","ATP+ADP+AMP A3 swab","calibration/site limits",partial,partial,partial,yes,no,yes,"rapid portable comparator","biochemical point sampling","MEDIUM"
"Ecolab DAZO",2026,commercial,"environmental cleaning monitoring","fluorescent marking gel plus UV/app","marked sites",no,partial,no,yes,no,yes,"cleaning verification and digital workflow","tests marker removal, not native residue","MEDIUM"
"US8229204B2 (Ecolab)",2012,patent,"optical cleanliness of ware and surfaces","controlled illumination and digital luminosity","clean and stained controls by ware type",partial,partial,no,yes,partial,yes,"very high overlap with material-aware reference cleanliness scoring","no bounded multi-state abstaining inference found","HIGH"
"US7286218B2",2007,patent,"workpiece surface inspection","surface spatial frequencies and signal maps","noise/background distribution",partial,yes,partial,no,yes,no,"confidence level maps and statistical significance","semiconductor inspection not cleaning","HIGH"
"US6378386B1",2002,patent,"quantitative surface cleanliness","wipe/smear reflectivity","clean-surface calibrated swatch",partial,partial,no,yes,no,yes,"prescribed repeat measurement and quantitative cleanliness","contact sampling rather than native full-field optics","MEDIUM"
"EP0903572A2",1999,patent,"window contamination","transmission/reflection intensity","reference detector for source normalization",partial,partial,no,no,partial,partial,"reference-normalized contamination measurement","single optical window rather than cleaning workflow","MEDIUM"
"US20090015824A1",2009,patent,"optical-window contamination","multiwavelength intensity ratio","clean-window/reference source",partial,partial,no,no,partial,partial,"multiwavelength ratio directly overlaps diversity concept","window-monitor application","HIGH"
"Papaioannou et al. arXiv:2201.04310",2022,literature,"industrial facility inspection","robotic/drone sensing","uncertainty-aware coverage plan",no,partial,partial,yes,yes,no,"coverage plus uncertainty integration","not optical cleanliness","LOW"
