case_id,failure_mode_class,synthetic_ground_truth,observation_configuration,expected_behavior,actual_behavior,false_clean_indicator,false_clean_rate,flag_rate,unknown_rate,usable_coverage,runtime_seconds,nuisance_seed,nuisance_parameters,notes
dirty_reference-03-E4_secondary_optical_hypothesis,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary plus hypothetical residue-sensitive optical state,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260923,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-03-v1_retained,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,three-reference consensus and gain guard in primary + registered high-SNR state,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20260923,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-04-v0_single_reference,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; one reference; 48 reference + 48 sample frames,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260924,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-04-E1_gain_guard,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; one reference; bounded absolute gain ratio,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260924,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-04-E2_reference_consensus,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; three references; majority self-consistency,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20260924,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-04-E3_controlled_geometry,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary plus registered high-SNR geometry state; one reference each,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260924,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-04-E4_secondary_optical_hypothesis,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary plus hypothetical residue-sensitive optical state,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260924,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-04-v1_retained,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,three-reference consensus and gain guard in primary + registered high-SNR state,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20260924,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-05-v0_single_reference,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; one reference; 48 reference + 48 sample frames,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260925,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-05-E1_gain_guard,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; one reference; bounded absolute gain ratio,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260925,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-05-E2_reference_consensus,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; three references; majority self-consistency,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20260925,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-05-E3_controlled_geometry,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary plus registered high-SNR geometry state; one reference each,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260925,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-05-E4_secondary_optical_hypothesis,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary plus hypothetical residue-sensitive optical state,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260925,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-05-v1_retained,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,three-reference consensus and gain guard in primary + registered high-SNR state,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20260925,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-06-v0_single_reference,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; one reference; 48 reference + 48 sample frames,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260926,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-06-E1_gain_guard,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; one reference; bounded absolute gain ratio,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260926,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-06-E2_reference_consensus,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; three references; majority self-consistency,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20260926,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-06-E3_controlled_geometry,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary plus registered high-SNR geometry state; one reference each,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260926,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-06-E4_secondary_optical_hypothesis,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary plus hypothetical residue-sensitive optical state,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260926,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-06-v1_retained,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,three-reference consensus and gain guard in primary + registered high-SNR state,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20260926,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-07-v0_single_reference,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; one reference; 48 reference + 48 sample frames,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260927,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-07-E1_gain_guard,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; one reference; bounded absolute gain ratio,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260927,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-07-E2_reference_consensus,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; three references; majority self-consistency,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20260927,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-07-E3_controlled_geometry,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary plus registered high-SNR geometry state; one reference each,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260927,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-07-E4_secondary_optical_hypothesis,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary plus hypothetical residue-sensitive optical state,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260927,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-07-v1_retained,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,three-reference consensus and gain guard in primary + registered high-SNR state,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20260927,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
uniform_absorber-00-v0_single_reference,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary state; one reference; 48 reference + 48 sample frames,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20261020,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-00-E1_gain_guard,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary state; one reference; bounded absolute gain ratio,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20261020,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-00-E2_reference_consensus,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary state; three references; majority self-consistency,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20261020,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-00-E3_controlled_geometry,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary plus registered high-SNR geometry state; one reference each,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20261020,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-00-E4_secondary_optical_hypothesis,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary plus hypothetical residue-sensitive optical state,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20261020,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-00-v1_retained,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,three-reference consensus and gain guard in primary + registered high-SNR state,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20261020,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-01-v0_single_reference,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary state; one reference; 48 reference + 48 sample frames,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20261021,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-01-E1_gain_guard,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary state; one reference; bounded absolute gain ratio,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20261021,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-01-E2_reference_consensus,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary state; three references; majority self-consistency,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20261021,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-01-E3_controlled_geometry,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary plus registered high-SNR geometry state; one reference each,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20261021,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-01-E4_secondary_optical_hypothesis,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary plus hypothetical residue-sensitive optical state,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20261021,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-01-v1_retained,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,three-reference consensus and gain guard in primary + registered high-SNR state,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20261021,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-02-v0_single_reference,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary state; one reference; 48 reference + 48 sample frames,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20261022,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-02-E1_gain_guard,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary state; one reference; bounded absolute gain ratio,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20261022,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-02-E2_reference_consensus,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary state; three references; majority self-consistency,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20261022,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-02-E3_controlled_geometry,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary plus registered high-SNR geometry state; one reference each,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20261022,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-02-E4_secondary_optical_hypothesis,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary plus hypothetical residue-sensitive optical state,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20261022,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-02-v1_retained,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,three-reference consensus and gain guard in primary + registered high-SNR state,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20261022,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-03-v0_single_reference,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary state; one reference; 48 reference + 48 sample frames,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20261023,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-03-E1_gain_guard,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary state; one reference; bounded absolute gain ratio,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20261023,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-03-E2_reference_consensus,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary state; three references; majority self-consistency,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20261023,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-03-E3_controlled_geometry,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary plus registered high-SNR geometry state; one reference each,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20261023,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
uniform_absorber-03-E4_secondary_optical_hypothesis,uniform_absorber,frequency-independent 0.65 modulation attenuation; contaminated by construction,primary plus hypothetical residue-sensitive optical state,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20261023,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Frequency-independent attenuation is confounded with acquisition gain; the guard helps only under a calibrated gain-drift bound.
